Generated by http://statistics.gov.scot,2018-07-27T10:33:24+00:00
http://statistics.gov.scot/data/scottish-index-multiple-deprivation,Scottish Index of Multiple Deprivation 2004-2012
measure type,Decile
Reference Period,2004
Measure (cell values): ,Decile(Decile)

,,http://statistics.gov.scot/def/concept/simd-domain/access-to-services,http://statistics.gov.scot/def/concept/simd-domain/education-skills-and-training,http://statistics.gov.scot/def/concept/simd-domain/employment,http://statistics.gov.scot/def/concept/simd-domain/health,http://statistics.gov.scot/def/concept/simd-domain/housing,http://statistics.gov.scot/def/concept/simd-domain/income,http://statistics.gov.scot/def/concept/simd-domain/simd
http://statistics.gov.scot/id/statistical-geography/S01000959,S01000959,6,5,8,6,9,8,8
http://statistics.gov.scot/id/statistical-geography/S01000960,S01000960,5,8,5,4,6,5,5
http://statistics.gov.scot/id/statistical-geography/S01000961,S01000961,8,8,6,7,9,7,8
http://statistics.gov.scot/id/statistical-geography/S01000962,S01000962,10,6,6,4,8,6,7
http://statistics.gov.scot/id/statistical-geography/S01000963,S01000963,5,3,3,10,8,3,4
http://statistics.gov.scot/id/statistical-geography/S01000964,S01000964,1,9,8,8,8,6,7
http://statistics.gov.scot/id/statistical-geography/S01000965,S01000965,7,1,3,3,6,2,2
http://statistics.gov.scot/id/statistical-geography/S01000966,S01000966,7,1,5,4,7,4,4
http://statistics.gov.scot/id/statistical-geography/S01000967,S01000967,9,4,4,3,7,3,4
http://statistics.gov.scot/id/statistical-geography/S01000968,S01000968,1,8,5,8,4,5,5
http://statistics.gov.scot/id/statistical-geography/S01000969,S01000969,9,5,5,3,7,5,5
http://statistics.gov.scot/id/statistical-geography/S01000970,S01000970,9,3,3,10,7,4,4
http://statistics.gov.scot/id/statistical-geography/S01000971,S01000971,5,3,4,5,7,2,3
http://statistics.gov.scot/id/statistical-geography/S01000972,S01000972,6,6,9,10,10,9,9
http://statistics.gov.scot/id/statistical-geography/S01000973,S01000973,8,3,6,6,8,6,6
http://statistics.gov.scot/id/statistical-geography/S01000974,S01000974,5,6,8,7,10,9,8
http://statistics.gov.scot/id/statistical-geography/S01000975,S01000975,1,8,8,7,8,7,6
http://statistics.gov.scot/id/statistical-geography/S01000976,S01000976,1,7,6,5,7,6,6
http://statistics.gov.scot/id/statistical-geography/S01000977,S01000977,3,5,6,10,8,7,7
http://statistics.gov.scot/id/statistical-geography/S01000978,S01000978,1,3,8,7,4,6,5
http://statistics.gov.scot/id/statistical-geography/S01000979,S01000979,1,9,6,6,5,7,6
http://statistics.gov.scot/id/statistical-geography/S01000980,S01000980,1,6,4,5,6,5,4
http://statistics.gov.scot/id/statistical-geography/S01000981,S01000981,1,4,9,10,9,9,8
http://statistics.gov.scot/id/statistical-geography/S01000982,S01000982,1,7,8,6,9,8,7
http://statistics.gov.scot/id/statistical-geography/S01000983,S01000983,1,6,6,6,4,5,5
http://statistics.gov.scot/id/statistical-geography/S01000984,S01000984,1,9,6,6,8,6,5
http://statistics.gov.scot/id/statistical-geography/S01000985,S01000985,3,4,5,4,5,3,4
http://statistics.gov.scot/id/statistical-geography/S01000986,S01000986,2,3,9,8,5,5,6
http://statistics.gov.scot/id/statistical-geography/S01000987,S01000987,1,6,6,7,5,7,6
http://statistics.gov.scot/id/statistical-geography/S01000988,S01000988,1,7,9,7,8,8,7
http://statistics.gov.scot/id/statistical-geography/S01000989,S01000989,1,6,9,6,8,9,7
http://statistics.gov.scot/id/statistical-geography/S01000990,S01000990,2,6,3,5,3,7,4
http://statistics.gov.scot/id/statistical-geography/S01000991,S01000991,1,5,6,7,6,8,6
http://statistics.gov.scot/id/statistical-geography/S01000992,S01000992,5,5,4,4,7,6,5
http://statistics.gov.scot/id/statistical-geography/S01000993,S01000993,2,7,6,5,9,7,6
http://statistics.gov.scot/id/statistical-geography/S01000994,S01000994,5,3,6,6,6,3,5
http://statistics.gov.scot/id/statistical-geography/S01000995,S01000995,2,8,9,9,9,10,9
http://statistics.gov.scot/id/statistical-geography/S01000996,S01000996,8,10,6,6,8,7,8
http://statistics.gov.scot/id/statistical-geography/S01000997,S01000997,2,8,7,8,10,9,8
http://statistics.gov.scot/id/statistical-geography/S01000998,S01000998,6,3,4,3,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01000999,S01000999,3,9,10,8,7,10,9
http://statistics.gov.scot/id/statistical-geography/S01001000,S01001000,8,7,5,4,4,6,6
http://statistics.gov.scot/id/statistical-geography/S01001001,S01001001,1,7,7,6,6,6,5
http://statistics.gov.scot/id/statistical-geography/S01001002,S01001002,3,8,9,8,6,9,9
http://statistics.gov.scot/id/statistical-geography/S01001003,S01001003,2,9,9,10,9,9,9
http://statistics.gov.scot/id/statistical-geography/S01001004,S01001004,9,10,8,8,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01001005,S01001005,7,10,9,9,9,8,10
http://statistics.gov.scot/id/statistical-geography/S01001006,S01001006,4,7,9,8,9,10,9
http://statistics.gov.scot/id/statistical-geography/S01001007,S01001007,5,3,4,3,4,4,4
http://statistics.gov.scot/id/statistical-geography/S01001008,S01001008,9,7,6,6,6,6,7
http://statistics.gov.scot/id/statistical-geography/S01001009,S01001009,2,7,8,8,6,9,8
http://statistics.gov.scot/id/statistical-geography/S01001010,S01001010,10,5,3,2,5,4,3
http://statistics.gov.scot/id/statistical-geography/S01001011,S01001011,1,5,7,10,4,7,6
http://statistics.gov.scot/id/statistical-geography/S01001012,S01001012,4,7,7,7,9,10,8
http://statistics.gov.scot/id/statistical-geography/S01001013,S01001013,10,6,5,5,7,5,6
http://statistics.gov.scot/id/statistical-geography/S01001014,S01001014,10,5,1,1,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01001015,S01001015,9,6,5,3,5,3,5
http://statistics.gov.scot/id/statistical-geography/S01001016,S01001016,1,6,5,4,5,5,4
http://statistics.gov.scot/id/statistical-geography/S01001017,S01001017,6,4,4,3,4,3,3
http://statistics.gov.scot/id/statistical-geography/S01001018,S01001018,9,5,4,2,5,4,4
http://statistics.gov.scot/id/statistical-geography/S01001019,S01001019,8,1,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001020,S01001020,8,3,4,3,4,4,4
http://statistics.gov.scot/id/statistical-geography/S01001021,S01001021,8,8,5,4,8,6,6
http://statistics.gov.scot/id/statistical-geography/S01001022,S01001022,9,7,3,2,5,4,4
http://statistics.gov.scot/id/statistical-geography/S01001023,S01001023,1,7,7,8,5,8,6
http://statistics.gov.scot/id/statistical-geography/S01001024,S01001024,2,5,6,7,6,4,5
http://statistics.gov.scot/id/statistical-geography/S01001025,S01001025,3,7,7,9,8,7,7
http://statistics.gov.scot/id/statistical-geography/S01001026,S01001026,2,6,8,8,8,7,7
http://statistics.gov.scot/id/statistical-geography/S01001027,S01001027,4,6,5,4,9,7,6
http://statistics.gov.scot/id/statistical-geography/S01001028,S01001028,7,2,3,4,5,3,3
http://statistics.gov.scot/id/statistical-geography/S01001029,S01001029,4,1,3,1,3,1,2
http://statistics.gov.scot/id/statistical-geography/S01001030,S01001030,2,9,8,7,10,10,9
http://statistics.gov.scot/id/statistical-geography/S01001031,S01001031,2,2,5,5,4,5,4
http://statistics.gov.scot/id/statistical-geography/S01001032,S01001032,7,1,2,2,3,2,2
http://statistics.gov.scot/id/statistical-geography/S01001033,S01001033,6,1,3,3,3,1,2
http://statistics.gov.scot/id/statistical-geography/S01001034,S01001034,7,1,2,1,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01001035,S01001035,4,2,4,4,2,3,3
http://statistics.gov.scot/id/statistical-geography/S01001036,S01001036,5,4,2,3,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01001037,S01001037,9,2,2,1,3,2,2
http://statistics.gov.scot/id/statistical-geography/S01001038,S01001038,2,5,9,9,10,9,8
http://statistics.gov.scot/id/statistical-geography/S01001039,S01001039,1,8,6,6,7,7,5
http://statistics.gov.scot/id/statistical-geography/S01001040,S01001040,1,6,6,6,5,7,6
http://statistics.gov.scot/id/statistical-geography/S01001041,S01001041,1,9,7,8,10,9,8
http://statistics.gov.scot/id/statistical-geography/S01001042,S01001042,1,6,9,8,9,10,8
http://statistics.gov.scot/id/statistical-geography/S01001043,S01001043,2,5,9,8,7,9,8
http://statistics.gov.scot/id/statistical-geography/S01001044,S01001044,2,6,6,9,6,6,6
http://statistics.gov.scot/id/statistical-geography/S01001045,S01001045,2,4,8,7,7,10,7
http://statistics.gov.scot/id/statistical-geography/S01001046,S01001046,3,5,6,4,6,6,5
http://statistics.gov.scot/id/statistical-geography/S01001047,S01001047,4,8,7,9,9,8,8
http://statistics.gov.scot/id/statistical-geography/S01001048,S01001048,2,7,7,8,10,9,8
http://statistics.gov.scot/id/statistical-geography/S01001049,S01001049,8,2,5,5,6,4,4
http://statistics.gov.scot/id/statistical-geography/S01001050,S01001050,2,6,7,10,7,7,7
http://statistics.gov.scot/id/statistical-geography/S01001051,S01001051,5,2,5,4,6,4,4
http://statistics.gov.scot/id/statistical-geography/S01001052,S01001052,3,2,6,4,4,4,4
http://statistics.gov.scot/id/statistical-geography/S01001053,S01001053,3,7,7,6,7,7,7
http://statistics.gov.scot/id/statistical-geography/S01001054,S01001054,2,3,5,7,6,7,5
http://statistics.gov.scot/id/statistical-geography/S01001055,S01001055,7,7,6,5,8,6,7
http://statistics.gov.scot/id/statistical-geography/S01001056,S01001056,7,4,7,6,5,5,6
http://statistics.gov.scot/id/statistical-geography/S01001057,S01001057,1,5,8,6,7,6,6
http://statistics.gov.scot/id/statistical-geography/S01001058,S01001058,9,5,5,3,6,5,5
http://statistics.gov.scot/id/statistical-geography/S01001059,S01001059,3,4,6,5,8,3,4
http://statistics.gov.scot/id/statistical-geography/S01001060,S01001060,8,4,7,7,7,6,7
http://statistics.gov.scot/id/statistical-geography/S01001061,S01001061,3,4,7,10,8,5,6
http://statistics.gov.scot/id/statistical-geography/S01001062,S01001062,1,7,8,9,5,8,7
http://statistics.gov.scot/id/statistical-geography/S01001063,S01001063,2,8,8,7,9,8,8
http://statistics.gov.scot/id/statistical-geography/S01001064,S01001064,10,9,9,9,8,7,10
http://statistics.gov.scot/id/statistical-geography/S01001065,S01001065,10,5,8,10,5,6,8
http://statistics.gov.scot/id/statistical-geography/S01001066,S01001066,1,9,6,5,8,7,6
http://statistics.gov.scot/id/statistical-geography/S01001067,S01001067,1,6,6,8,6,6,5
http://statistics.gov.scot/id/statistical-geography/S01001068,S01001068,1,9,6,7,6,7,5
http://statistics.gov.scot/id/statistical-geography/S01001069,S01001069,1,7,7,6,7,6,6
http://statistics.gov.scot/id/statistical-geography/S01001070,S01001070,1,7,7,7,8,6,6
http://statistics.gov.scot/id/statistical-geography/S01001071,S01001071,1,6,7,6,6,7,5
http://statistics.gov.scot/id/statistical-geography/S01001072,S01001072,1,6,6,8,3,5,5
http://statistics.gov.scot/id/statistical-geography/S01001073,S01001073,1,6,7,8,6,5,6
http://statistics.gov.scot/id/statistical-geography/S01001074,S01001074,1,8,7,9,8,7,6
http://statistics.gov.scot/id/statistical-geography/S01001075,S01001075,8,6,6,5,5,5,6
http://statistics.gov.scot/id/statistical-geography/S01001076,S01001076,1,8,7,9,7,5,6
http://statistics.gov.scot/id/statistical-geography/S01001077,S01001077,3,9,8,8,7,7,8
http://statistics.gov.scot/id/statistical-geography/S01001078,S01001078,1,6,5,6,6,5,5
http://statistics.gov.scot/id/statistical-geography/S01001079,S01001079,1,9,9,8,5,9,8
http://statistics.gov.scot/id/statistical-geography/S01001080,S01001080,4,6,7,6,9,8,7
http://statistics.gov.scot/id/statistical-geography/S01001081,S01001081,1,9,5,7,5,4,4
http://statistics.gov.scot/id/statistical-geography/S01001082,S01001082,10,8,7,6,7,7,8
http://statistics.gov.scot/id/statistical-geography/S01001083,S01001083,2,6,5,6,7,4,5
http://statistics.gov.scot/id/statistical-geography/S01001084,S01001084,2,9,9,6,9,8,8
http://statistics.gov.scot/id/statistical-geography/S01001085,S01001085,5,3,4,8,7,3,4
http://statistics.gov.scot/id/statistical-geography/S01001086,S01001086,5,2,2,5,5,2,2
http://statistics.gov.scot/id/statistical-geography/S01001087,S01001087,4,3,2,2,5,3,2
http://statistics.gov.scot/id/statistical-geography/S01001088,S01001088,3,3,2,4,5,2,2
http://statistics.gov.scot/id/statistical-geography/S01001089,S01001089,1,5,4,5,6,5,4
http://statistics.gov.scot/id/statistical-geography/S01001090,S01001090,10,9,9,7,3,8,9
http://statistics.gov.scot/id/statistical-geography/S01001091,S01001091,9,5,9,3,1,5,6
http://statistics.gov.scot/id/statistical-geography/S01001092,S01001092,9,6,7,5,1,6,6
http://statistics.gov.scot/id/statistical-geography/S01001093,S01001093,10,5,6,7,1,5,6
http://statistics.gov.scot/id/statistical-geography/S01001094,S01001094,2,9,9,7,8,9,8
http://statistics.gov.scot/id/statistical-geography/S01001095,S01001095,10,3,9,4,1,7,6
http://statistics.gov.scot/id/statistical-geography/S01001096,S01001096,10,6,8,4,1,6,6
http://statistics.gov.scot/id/statistical-geography/S01001097,S01001097,9,9,7,5,7,8,8
http://statistics.gov.scot/id/statistical-geography/S01001098,S01001098,3,8,10,8,9,10,10
http://statistics.gov.scot/id/statistical-geography/S01001099,S01001099,10,4,3,2,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01001100,S01001100,9,5,5,3,2,4,5
http://statistics.gov.scot/id/statistical-geography/S01001101,S01001101,9,3,4,1,1,5,3
http://statistics.gov.scot/id/statistical-geography/S01001102,S01001102,10,2,6,4,1,5,4
http://statistics.gov.scot/id/statistical-geography/S01001103,S01001103,1,8,10,8,3,10,8
http://statistics.gov.scot/id/statistical-geography/S01001104,S01001104,8,3,3,2,1,1,2
http://statistics.gov.scot/id/statistical-geography/S01001105,S01001105,2,10,9,8,10,10,9
http://statistics.gov.scot/id/statistical-geography/S01001106,S01001106,2,9,7,7,10,9,8
http://statistics.gov.scot/id/statistical-geography/S01001107,S01001107,9,5,4,3,2,4,4
http://statistics.gov.scot/id/statistical-geography/S01001108,S01001108,8,3,3,3,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01001109,S01001109,8,4,2,1,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001110,S01001110,9,3,3,3,1,2,3
http://statistics.gov.scot/id/statistical-geography/S01001111,S01001111,9,3,3,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001112,S01001112,10,7,7,4,2,5,6
http://statistics.gov.scot/id/statistical-geography/S01001113,S01001113,9,2,4,2,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01001114,S01001114,7,2,1,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001115,S01001115,7,3,3,2,2,3,3
http://statistics.gov.scot/id/statistical-geography/S01001116,S01001116,4,3,3,2,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01001117,S01001117,10,3,1,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001118,S01001118,7,7,3,4,5,5,5
http://statistics.gov.scot/id/statistical-geography/S01001119,S01001119,10,7,4,2,2,3,4
http://statistics.gov.scot/id/statistical-geography/S01001120,S01001120,6,8,7,4,5,6,7
http://statistics.gov.scot/id/statistical-geography/S01001121,S01001121,9,3,2,3,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001122,S01001122,10,5,4,2,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01001123,S01001123,6,9,7,4,7,7,7
http://statistics.gov.scot/id/statistical-geography/S01001124,S01001124,6,5,4,3,7,5,5
http://statistics.gov.scot/id/statistical-geography/S01001125,S01001125,5,3,2,2,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01001126,S01001126,5,9,9,7,8,9,9
http://statistics.gov.scot/id/statistical-geography/S01001127,S01001127,9,7,5,4,4,4,5
http://statistics.gov.scot/id/statistical-geography/S01001128,S01001128,2,9,9,9,9,10,9
http://statistics.gov.scot/id/statistical-geography/S01001129,S01001129,4,3,3,2,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01001130,S01001130,4,3,3,4,2,5,4
http://statistics.gov.scot/id/statistical-geography/S01001131,S01001131,10,3,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001132,S01001132,10,7,6,3,3,6,6
http://statistics.gov.scot/id/statistical-geography/S01001133,S01001133,7,6,4,5,2,4,4
http://statistics.gov.scot/id/statistical-geography/S01001134,S01001134,10,9,9,8,8,9,10
http://statistics.gov.scot/id/statistical-geography/S01001135,S01001135,8,4,2,2,2,1,2
http://statistics.gov.scot/id/statistical-geography/S01001136,S01001136,10,2,1,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001137,S01001137,10,1,1,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001138,S01001138,10,3,2,1,1,1,2
http://statistics.gov.scot/id/statistical-geography/S01001139,S01001139,3,7,4,3,3,4,4
http://statistics.gov.scot/id/statistical-geography/S01001140,S01001140,9,4,2,2,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01001141,S01001141,10,2,1,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001142,S01001142,9,9,7,6,9,7,9
http://statistics.gov.scot/id/statistical-geography/S01001143,S01001143,3,9,7,7,10,8,8
http://statistics.gov.scot/id/statistical-geography/S01001144,S01001144,4,3,4,3,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01001145,S01001145,5,6,3,3,6,4,4
http://statistics.gov.scot/id/statistical-geography/S01001146,S01001146,5,8,7,8,9,9,8
http://statistics.gov.scot/id/statistical-geography/S01001147,S01001147,10,2,3,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001148,S01001148,6,9,9,7,10,7,9
http://statistics.gov.scot/id/statistical-geography/S01001149,S01001149,9,3,3,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001150,S01001150,6,3,1,1,2,2,1
http://statistics.gov.scot/id/statistical-geography/S01001151,S01001151,10,1,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001152,S01001152,10,2,3,3,3,3,3
http://statistics.gov.scot/id/statistical-geography/S01001153,S01001153,6,5,5,5,6,7,6
http://statistics.gov.scot/id/statistical-geography/S01001154,S01001154,5,9,10,8,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01001155,S01001155,8,10,9,8,10,9,10
http://statistics.gov.scot/id/statistical-geography/S01001156,S01001156,10,3,2,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001157,S01001157,5,9,9,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01001158,S01001158,9,6,6,3,4,5,5
http://statistics.gov.scot/id/statistical-geography/S01001159,S01001159,6,10,8,5,9,7,8
http://statistics.gov.scot/id/statistical-geography/S01001160,S01001160,6,5,6,3,4,3,4
http://statistics.gov.scot/id/statistical-geography/S01001161,S01001161,5,7,7,4,6,7,7
http://statistics.gov.scot/id/statistical-geography/S01001162,S01001162,5,9,8,6,10,9,9
http://statistics.gov.scot/id/statistical-geography/S01001163,S01001163,10,3,2,2,1,1,2
http://statistics.gov.scot/id/statistical-geography/S01001164,S01001164,6,3,1,2,2,3,2
http://statistics.gov.scot/id/statistical-geography/S01001165,S01001165,9,2,2,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001166,S01001166,10,2,1,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001167,S01001167,3,10,9,7,10,9,9
http://statistics.gov.scot/id/statistical-geography/S01001168,S01001168,10,5,3,2,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01001169,S01001169,9,2,2,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001170,S01001170,6,2,1,1,1,2,1
http://statistics.gov.scot/id/statistical-geography/S01001171,S01001171,9,5,4,4,3,5,5
http://statistics.gov.scot/id/statistical-geography/S01001172,S01001172,10,2,2,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001173,S01001173,5,3,3,3,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001174,S01001174,9,2,2,1,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001175,S01001175,5,1,2,2,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001176,S01001176,5,4,3,3,5,5,4
http://statistics.gov.scot/id/statistical-geography/S01001177,S01001177,7,4,2,1,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01001178,S01001178,6,4,3,2,5,4,3
http://statistics.gov.scot/id/statistical-geography/S01001179,S01001179,4,9,9,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01001180,S01001180,10,2,1,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001181,S01001181,5,9,8,9,9,9,10
http://statistics.gov.scot/id/statistical-geography/S01001182,S01001182,7,3,2,3,2,3,3
http://statistics.gov.scot/id/statistical-geography/S01001183,S01001183,9,2,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001184,S01001184,10,8,6,6,7,6,8
http://statistics.gov.scot/id/statistical-geography/S01001185,S01001185,5,10,7,7,10,10,9
http://statistics.gov.scot/id/statistical-geography/S01001186,S01001186,4,7,8,8,9,9,9
http://statistics.gov.scot/id/statistical-geography/S01001187,S01001187,5,1,2,1,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001188,S01001188,10,2,1,1,1,2,1
http://statistics.gov.scot/id/statistical-geography/S01001189,S01001189,5,6,4,4,5,4,4
http://statistics.gov.scot/id/statistical-geography/S01001190,S01001190,5,9,9,9,10,10,10
http://statistics.gov.scot/id/statistical-geography/S01001191,S01001191,8,3,2,2,1,3,2
http://statistics.gov.scot/id/statistical-geography/S01001192,S01001192,9,2,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001193,S01001193,7,7,7,8,8,9,9
http://statistics.gov.scot/id/statistical-geography/S01001194,S01001194,3,9,8,6,10,9,8
http://statistics.gov.scot/id/statistical-geography/S01001195,S01001195,8,5,4,3,2,5,4
http://statistics.gov.scot/id/statistical-geography/S01001196,S01001196,10,3,3,2,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01001197,S01001197,6,2,2,2,1,3,2
http://statistics.gov.scot/id/statistical-geography/S01001198,S01001198,5,2,3,3,1,3,2
http://statistics.gov.scot/id/statistical-geography/S01001199,S01001199,8,1,2,4,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001200,S01001200,7,1,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001201,S01001201,7,3,1,2,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01001202,S01001202,5,2,3,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001203,S01001203,9,3,2,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001204,S01001204,2,9,8,9,10,9,9
http://statistics.gov.scot/id/statistical-geography/S01001205,S01001205,7,7,8,6,5,7,8
http://statistics.gov.scot/id/statistical-geography/S01001206,S01001206,8,5,3,4,2,3,3
http://statistics.gov.scot/id/statistical-geography/S01001207,S01001207,5,2,3,3,2,3,2
http://statistics.gov.scot/id/statistical-geography/S01001208,S01001208,5,1,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001209,S01001209,6,4,10,7,7,8,8
http://statistics.gov.scot/id/statistical-geography/S01001210,S01001210,7,3,2,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001211,S01001211,8,8,6,6,7,8,8
http://statistics.gov.scot/id/statistical-geography/S01001212,S01001212,9,3,1,2,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001213,S01001213,7,1,2,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001214,S01001214,5,3,2,2,3,4,2
http://statistics.gov.scot/id/statistical-geography/S01001215,S01001215,8,8,6,6,7,9,8
http://statistics.gov.scot/id/statistical-geography/S01001216,S01001216,9,2,3,3,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001217,S01001217,8,1,1,2,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001218,S01001218,2,9,9,10,10,9,9
http://statistics.gov.scot/id/statistical-geography/S01001219,S01001219,2,8,9,8,10,10,9
http://statistics.gov.scot/id/statistical-geography/S01001220,S01001220,8,2,3,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001221,S01001221,2,6,8,8,5,9,8
http://statistics.gov.scot/id/statistical-geography/S01001222,S01001222,4,2,3,1,2,3,2
http://statistics.gov.scot/id/statistical-geography/S01001223,S01001223,3,5,7,6,6,8,7
http://statistics.gov.scot/id/statistical-geography/S01001224,S01001224,8,1,2,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001225,S01001225,6,9,8,6,9,9,9
http://statistics.gov.scot/id/statistical-geography/S01001226,S01001226,2,2,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001227,S01001227,4,5,6,6,8,7,6
http://statistics.gov.scot/id/statistical-geography/S01001228,S01001228,9,6,5,4,6,6,6
http://statistics.gov.scot/id/statistical-geography/S01001229,S01001229,10,7,7,7,6,9,9
http://statistics.gov.scot/id/statistical-geography/S01001230,S01001230,4,1,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001231,S01001231,6,2,3,2,1,3,2
http://statistics.gov.scot/id/statistical-geography/S01001232,S01001232,2,6,7,7,10,7,7
http://statistics.gov.scot/id/statistical-geography/S01001233,S01001233,9,2,2,2,1,1,2
http://statistics.gov.scot/id/statistical-geography/S01001234,S01001234,4,2,2,1,1,2,1
http://statistics.gov.scot/id/statistical-geography/S01001235,S01001235,7,1,3,3,2,1,2
http://statistics.gov.scot/id/statistical-geography/S01001236,S01001236,8,1,2,2,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001237,S01001237,8,5,4,4,4,6,5
http://statistics.gov.scot/id/statistical-geography/S01001238,S01001238,5,1,1,2,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001239,S01001239,4,1,1,1,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001240,S01001240,9,2,3,3,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01001241,S01001241,10,2,3,3,2,3,3
http://statistics.gov.scot/id/statistical-geography/S01001242,S01001242,3,4,6,6,6,7,6
http://statistics.gov.scot/id/statistical-geography/S01001243,S01001243,7,2,1,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001244,S01001244,2,3,6,5,4,5,4
http://statistics.gov.scot/id/statistical-geography/S01001245,S01001245,6,1,1,2,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001246,S01001246,9,5,4,4,4,4,4
http://statistics.gov.scot/id/statistical-geography/S01001247,S01001247,8,2,4,4,1,3,3
http://statistics.gov.scot/id/statistical-geography/S01001248,S01001248,3,6,8,8,7,9,8
http://statistics.gov.scot/id/statistical-geography/S01001249,S01001249,8,2,3,3,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01001250,S01001250,7,2,3,3,1,4,3
http://statistics.gov.scot/id/statistical-geography/S01001251,S01001251,5,1,2,3,2,2,2
http://statistics.gov.scot/id/statistical-geography/S01001252,S01001252,7,3,4,4,1,4,4
http://statistics.gov.scot/id/statistical-geography/S01001253,S01001253,2,1,1,2,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001254,S01001254,9,2,3,2,1,2,2
http://statistics.gov.scot/id/statistical-geography/S01001255,S01001255,5,1,3,2,3,1,2
http://statistics.gov.scot/id/statistical-geography/S01001256,S01001256,7,2,3,2,1,3,2
http://statistics.gov.scot/id/statistical-geography/S01001257,S01001257,6,1,2,2,3,1,1
http://statistics.gov.scot/id/statistical-geography/S01001258,S01001258,2,2,2,3,5,1,2
http://statistics.gov.scot/id/statistical-geography/S01001259,S01001259,8,3,5,3,2,5,4
http://statistics.gov.scot/id/statistical-geography/S01001260,S01001260,4,1,3,2,2,1,1
http://statistics.gov.scot/id/statistical-geography/S01001261,S01001261,7,1,1,1,1,1,1
http://statistics.gov.scot/id/statistical-geography/S01001262,S01001262,5,7,7,6,9,7,7
