		coeff	coeffLCI	coeffUCI	OR	ORLCI	ORUCI	p	llrp
T0_C8	T0 Causal Attribution Q8 - Emotional - Disagree	-0.11	-0.64	0.42	0.90	0.53	1.53	0.69	0.60
T0_C8	T0 Causal Attribution Q8 - Emotional - Neither	0.12	-0.45	0.70	1.13	0.64	2.01	0.68	0.60
T0_C8	T0 Causal Attribution Q8 - Emotional - Agree	-0.15	-0.71	0.41	0.86	0.49	1.51	0.61	0.60
T0_C9	constant	1.19	0.70	1.68	3.29	2.02	5.36	0.00	1.00
T0_C9	T0 Causal Attribution Q9 - Ageing - Strongly Disagree	-0.78	-1.31	-0.25	0.46	0.27	0.78	0.00	0.01
T0_C9	T0 Causal Attribution Q9 - Ageing - Disagree	-0.62	-1.14	-0.10	0.54	0.32	0.91	0.02	0.01
T0_C9	T0 Causal Attribution Q9 - Ageing - Neither	-0.51	-1.06	0.03	0.60	0.35	1.03	0.07	0.01
T0_C9	T0 Causal Attribution Q9 - Ageing - Agree	-0.37	-0.89	0.15	0.69	0.41	1.16	0.17	0.01
T0_C10	constant	0.62	0.07	1.16	1.85	1.07	3.19	0.03	1.00
T0_C10	T0 Causal Attribution Q10 - Smoking - Strongly Disagree	0.02	-0.54	0.59	1.02	0.58	1.80	0.94	0.70
T0_C10	T0 Causal Attribution Q10 - Smoking - Disagree	0.13	-0.43	0.70	1.14	0.65	2.02	0.64	0.70
T0_C10	T0 Causal Attribution Q10 - Smoking - Neither	-0.03	-0.64	0.59	0.97	0.52	1.80	0.93	0.70
T0_C10	T0 Causal Attribution Q10 - Smoking - Agree	-0.08	-0.69	0.54	0.93	0.50	1.71	0.81	0.70
T0_C11	constant	0.47	-0.18	1.12	1.60	0.84	3.05	0.15	1.00
T0_C11	T0 Causal Attribution Q11 - Medication - Strongly Disagree	0.10	-0.56	0.77	1.11	0.57	2.15	0.76	0.44
T0_C11	T0 Causal Attribution Q11 - Medication - Disagree	0.19	-0.48	0.85	1.20	0.62	2.34	0.58	0.44
T0_C11	T0 Causal Attribution Q11 - Medication - Neither	0.36	-0.33	1.06	1.44	0.72	2.88	0.31	0.44
T0_C11	T0 Causal Attribution Q11 - Medication - Agree	0.31	-0.41	1.03	1.37	0.66	2.81	0.40	0.44
T0_C12	constant	1.05	0.63	1.47	2.86	1.88	4.37	0.00	1.00
T0_C12	T0 Causal Attribution Q12 - Accident - Strongly Disagree	-0.40	-0.86	0.05	0.67	0.42	1.05	0.08	0.33
T0_C12	T0 Causal Attribution Q12 - Accident - Disagree	-0.43	-0.88	0.03	0.65	0.42	1.03	0.07	0.33
T0_C12	T0 Causal Attribution Q12 - Accident - Neither	-0.51	-1.02	-0.01	0.60	0.36	0.99	0.04	0.33
T0_C12	T0 Causal Attribution Q12 - Accident - Agree	-0.33	-0.84	0.17	0.72	0.43	1.18	0.19	0.33
T0_Sat1	constant	0.62	0.47	0.78	1.87	1.60	2.18	0.00	1.00
T0_Sat1	T0 Satisfaction - The visit overall? - Poor	0.36	-0.98	1.69	1.43	0.38	5.43	0.60	0.25
T0_Sat1	T0 Satisfaction - The visit overall? - Fair	0.54	0.01	1.06	1.71	1.01	2.90	0.04	0.25
T0_Sat1	T0 Satisfaction - The visit overall? - Good	0.10	-0.18	0.37	1.10	0.84	1.45	0.50	0.25
T0_Sat1	T0 Satisfaction - The visit overall? - Very Good	-0.02	-0.24	0.20	0.98	0.79	1.22	0.86	0.25
T0_Sat2	constant	0.67	0.53	0.80	1.95	1.70	2.24	0.00	1.00
T0_Sat2	"T0 Satisfaction - The thoroughness, carefulness and competence of the doctor you saw? - Poor"	0.72	-1.48	2.91	2.05	0.23	18.41	0.52	0.38
T0_Sat2	"T0 Satisfaction - The thoroughness, carefulness and competence of the doctor you saw? - Fair"	0.26	-0.35	0.87	1.30	0.70	2.40	0.40	0.38
T0_Sat2	"T0 Satisfaction - The thoroughness, carefulness and competence of the doctor you saw? - Good"	0.16	-0.15	0.48	1.18	0.86	1.62	0.31	0.38
T0_Sat2	"T0 Satisfaction - The thoroughness, carefulness and competence of the doctor you saw? - Very Good"	-0.11	-0.32	0.10	0.90	0.73	1.11	0.31	0.38
T0_Sat3	constant	0.65	0.52	0.78	1.92	1.69	2.19	0.00	1.00
T0_Sat3	"T0 Satisfaction - The personal manner (courtesy, respect, sensitivity, friendliness) of the doctor you saw? - Poor"	1.29	-0.81	3.39	3.64	0.45	29.71	0.23	0.66
T0_Sat3	"T0 Satisfaction - The personal manner (courtesy, respect, sensitivity, friendliness) of the doctor you saw? - Fair"	0.01	-0.63	0.64	1.01	0.53	1.90	0.99	0.66
T0_Sat3	"T0 Satisfaction - The personal manner (courtesy, respect, sensitivity, friendliness) of the doctor you saw? - Good"	-0.09	-0.40	0.23	0.92	0.67	1.26	0.59	0.66
T0_Sat3	"T0 Satisfaction - The personal manner (courtesy, respect, sensitivity, friendliness) of the doctor you saw? - Very Good"	0.03	-0.18	0.25	1.03	0.83	1.28	0.77	0.66
T0_Sat4	constant	0.70	0.47	0.93	2.02	1.61	2.53	0.00	1.00
T0_Sat4	T0 Satisfaction - The length of time you waited between being referred by your doctor and seeing the neurologist today? - Poor	0.14	-0.16	0.44	1.15	0.85	1.55	0.37	0.17
T0_Sat4	T0 Satisfaction - The length of time you waited between being referred by your doctor and seeing the neurologist today? - Fair	-0.06	-0.38	0.26	0.94	0.68	1.30	0.72	0.17
T0_Sat4	T0 Satisfaction - The length of time you waited between being referred by your doctor and seeing the neurologist today? - Good	-0.17	-0.48	0.14	0.84	0.62	1.16	0.29	0.17
T0_Sat4	T0 Satisfaction - The length of time you waited between being referred by your doctor and seeing the neurologist today? - Very Good	-0.18	-0.49	0.14	0.84	0.61	1.15	0.27	0.17
T0_Sat5	constant	0.59	0.33	0.85	1.80	1.39	2.33	0.00	1.00
T0_Sat5	T0 Satisfaction - Length of time spent waiting at the clinic today? - Poor	0.68	0.26	1.10	1.98	1.30	3.02	0.00	0.00
T0_Sat5	T0 Satisfaction - Length of time spent waiting at the clinic today? - Fair	0.12	-0.21	0.45	1.13	0.81	1.57	0.47	0.00
T0_Sat5	T0 Satisfaction - Length of time spent waiting at the clinic today? - Good	-0.05	-0.35	0.26	0.95	0.70	1.29	0.75	0.00
T0_Sat5	T0 Satisfaction - Length of time spent waiting at the clinic today? - Very Good	-0.03	-0.35	0.30	0.97	0.70	1.35	0.88	0.00
T0_Sat6	constant	0.71	0.54	0.88	2.04	1.72	2.42	0.00	1.00
T0_Sat6	T0 Satisfaction - Convenience of the location of the clinic? - Poor	-0.14	-0.61	0.33	0.87	0.54	1.40	0.57	0.89
T0_Sat6	T0 Satisfaction - Convenience of the location of the clinic? - Fair	-0.01	-0.32	0.31	0.99	0.73	1.36	0.97	0.89
T0_Sat6	T0 Satisfaction - Convenience of the location of the clinic? - Good	-0.05	-0.32	0.21	0.95	0.72	1.24	0.69	0.89
T0_Sat6	T0 Satisfaction - Convenience of the location of the clinic? - Very Good	-0.12	-0.36	0.13	0.89	0.70	1.14	0.36	0.89
T0_Sat7	constant	0.71	0.55	0.87	2.04	1.74	2.39	0.00	1.00
T0_Sat7	T0 Satisfaction - Time spent with the doctor you saw? - Poor	-0.15	-1.39	1.09	0.86	0.25	2.96	0.81	0.42
T0_Sat7	T0 Satisfaction - Time spent with the doctor you saw? - Fair	0.20	-0.25	0.66	1.23	0.78	1.93	0.38	0.42
T0_Sat7	T0 Satisfaction - Time spent with the doctor you saw? - Good	-0.02	-0.28	0.24	0.98	0.75	1.28	0.88	0.42
T0_Sat7	T0 Satisfaction - Time spent with the doctor you saw? - Very Good	-0.16	-0.39	0.06	0.85	0.68	1.06	0.15	0.42
T0_Sat8	constant	0.74	0.58	0.90	2.10	1.79	2.46	0.00	1.00
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? - Poor	0.43	-0.33	1.19	1.54	0.72	3.30	0.27	0.09
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? - Fair	-0.06	-0.44	0.32	0.94	0.64	1.38	0.77	0.09
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? - Good	0.00	-0.26	0.27	1.00	0.77	1.30	0.99	0.09
T0_Sat8	T0 Satisfaction - Explanation given to you about the cause of your symptoms? - Very Good	-0.27	-0.50	-0.04	0.77	0.61	0.97	0.02	0.09
T0_StomachPain	constant	0.59	0.49	0.70	1.81	1.64	2.01	0.00	1.00
T0_StomachPain	T0 PHQ15 Q1 - Stomach pain - Yes	0.47	0.18	0.75	1.59	1.19	2.13	0.00	0.00
T0_BackPain	constant	0.49	0.37	0.61	1.63	1.45	1.84	0.00	1.00
T0_BackPain	T0 PHQ15 Q2 - Back pain - Yes	0.47	0.27	0.68	1.61	1.31	1.97	0.00	0.00
T0_Paininarmslegsjoints	constant	0.39	0.26	0.52	1.48	1.29	1.69	0.00	1.00
T0_Paininarmslegsjoints	"T0 PHQ15 Q3 - Pain in your arms, legs or joints (Knees, hips, etc) - Yes"	0.54	0.35	0.74	1.72	1.42	2.09	0.00	0.00
T0_Headaches	constant	0.68	0.55	0.81	1.97	1.74	2.24	0.00	1.00
T0_Headaches	T0 PHQ15 Q5 - Headaches - Yes	-0.05	-0.24	0.15	0.95	0.79	1.16	0.63	0.63
T0_Chestpain	constant	0.62	0.52	0.72	1.85	1.68	2.05	0.00	1.00
T0_Chestpain	T0 PHQ15 Q6 - Chest pain - Yes	0.46	0.11	0.81	1.58	1.12	2.24	0.01	0.01
T0_Dizziness	constant	0.65	0.53	0.76	1.91	1.70	2.15	0.00	1.00
T0_Dizziness	T0 PHQ15 Q7- Dizziness - Yes	0.03	-0.17	0.24	1.03	0.84	1.27	0.75	0.75
T0_FaintingSpells	constant	0.69	0.59	0.79	1.99	1.80	2.20	0.00	1.00
T0_FaintingSpells	T0 PHQ15 Q8 - Fainting spells - Yes	-0.35	-0.69	-0.01	0.71	0.50	0.99	0.05	0.05
T0_HeartPoundingorRacing	constant	0.61	0.50	0.72	1.84	1.65	2.05	0.00	1.00
T0_HeartPoundingorRacing	T0 PHQ15 Q9 - Feeling your heart pound or race - Yes	0.23	-0.01	0.46	1.25	0.99	1.59	0.06	0.06
T0_ShortnessofBreath	constant	0.56	0.45	0.67	1.75	1.57	1.94	0.00	1.00
T0_ShortnessofBreath	T0 PHQ15 Q10 - Shortness of breath - Yes	0.53	0.28	0.78	1.70	1.32	2.19	0.00	0.00
T0_Constipation	constant	0.53	0.42	0.64	1.69	1.51	1.89	0.00	1.00
T0_Constipation	"T0 PHQ15 Q12 - Constipation, loose bowels or diarrhoea - Yes"	0.52	0.30	0.75	1.69	1.34	2.12	0.00	0.00
T0_NauseaorGas	constant	0.55	0.44	0.66	1.73	1.55	1.94	0.00	1.00
T0_NauseaorGas	"T0 PHQ15 Q13 - Nausea, gas or indigestion - Yes"	0.37	0.15	0.58	1.44	1.17	1.79	0.00	0.00
T0_Tired	constant	0.47	0.31	0.63	1.60	1.36	1.87	0.00	1.00
T0_Tired	T0 PHQ15 Q14 - Feeling tired or having low energy - Yes	0.30	0.10	0.50	1.34	1.10	1.64	0.00	0.00
T0_Sleeping	constant	0.50	0.37	0.63	1.65	1.45	1.87	0.00	1.00
T0_Sleeping	T0 PHQ15 Q15 - Trouble sleeping - Yes	0.36	0.17	0.56	1.44	1.19	1.75	0.00	0.00
T0_Lackofcoordination	constant	0.44	0.32	0.56	1.55	1.37	1.74	0.00	1.00
T0_Lackofcoordination	T0 Neurological Symptom 1 - Lack of co-ordination or balance - Yes	0.59	0.39	0.79	1.81	1.48	2.21	0.00	0.00
T0_MemorConcentration	constant	0.52	0.40	0.65	1.69	1.49	1.91	0.00	1.00
T0_MemorConcentration	T0 Neurological Symptom 2 - Problems with your memory or concentration - Yes	0.35	0.15	0.55	1.42	1.16	1.73	0.00	0.00
T0_LossofSensation	constant	0.39	0.26	0.53	1.48	1.30	1.69	0.00	1.00
T0_LossofSensation	"T0 Neurological Symptom 3 - Loss of sensation, numbness or tingling - Yes"	0.55	0.35	0.74	1.73	1.43	2.10	0.00	0.00
T0_LossofVision	constant	0.67	0.57	0.77	1.95	1.76	2.16	0.00	1.00
T0_LossofVision	T0 Neurological Symptom 4 - Partial or total loss of vision - Yes	-0.06	-0.37	0.24	0.94	0.69	1.27	0.69	0.69
T0_LossofHearing	constant	0.64	0.53	0.74	1.89	1.71	2.09	0.00	1.00
T0_LossofHearing	T0 Neurological Symptom 5 - Partial or total loss of hearing - Yes	0.21	-0.09	0.51	1.23	0.91	1.67	0.17	0.16
T0_Paralysisorweakness	constant	0.45	0.34	0.57	1.57	1.40	1.77	0.00	1.00
T0_Paralysisorweakness	T0 Neurological Symptom 6 - Paralysis or weakness of an arm or leg - Yes	0.61	0.40	0.81	1.83	1.49	2.26	0.00	0.00
T0_DoubleorBlurredVision	constant	0.62	0.51	0.73	1.86	1.67	2.08	0.00	1.00
T0_DoubleorBlurredVision	T0 Neurological Symptom 7 - Double or blurred vision - Yes	0.16	-0.07	0.40	1.18	0.93	1.49	0.16	0.16
T0_DifficultySwallowing	constant	0.62	0.52	0.72	1.85	1.68	2.05	0.00	1.00
T0_DifficultySwallowing	T0 Neurological Symptom 8 - Difficulty swallowing or a lump in the throat - Yes	0.44	0.10	0.78	1.55	1.11	2.18	0.01	0.01
T0_DifficultySpeaking	constant	0.63	0.52	0.73	1.87	1.69	2.08	0.00	1.00
T0_DifficultySpeaking	T0 Neurological Symptom 9 - Difficulty speaking or slurred speech - Yes	0.23	-0.05	0.51	1.26	0.95	1.67	0.11	0.11
T0_SeizureorFit	constant	0.67	0.57	0.77	1.95	1.76	2.16	0.00	1.00
T0_SeizureorFit	T0 Neurological Symptom 10 - A seizure or fit - Yes	-0.07	-0.39	0.25	0.93	0.68	1.28	0.66	0.66
T0_AnxietyattackorPanicAttack	constant	0.64	0.54	0.74	1.89	1.71	2.10	0.00	1.00
T0_AnxietyattackorPanicAttack	T0 Neurological Symptom 11/PRIME MD Q1 - An anxiety attack (suddenly feeling fear or panic) - Yes	0.19	-0.12	0.49	1.20	0.89	1.63	0.23	0.23
T0_Littleinterestorpleasure	constant	0.57	0.45	0.68	1.76	1.57	1.97	0.00	1.00
T0_Littleinterestorpleasure	T0 Neurological Symptom 12/PRIME MD Q2 - Little interest or pleasure in doing things - Yes	0.34	0.12	0.56	1.41	1.13	1.75	0.00	0.00
T0_Feelingdownorhopeless	constant	0.53	0.42	0.65	1.71	1.52	1.91	0.00	1.00
T0_Feelingdownorhopeless	"T0 Neurological Symptom 13/PRIME MD Q3 - Feeling down, depressed or hopeless - Yes"	0.40	0.19	0.61	1.50	1.21	1.85	0.00	0.00
T0_Nervesorfeelinganxious	constant	0.61	0.49	0.73	1.85	1.64	2.08	0.00	1.00
T0_Nervesorfeelinganxious	T0 Neurological Symptom 14/PRIME MD Q4 -'Nerves' or feeling anxious or on edge - Yes	0.12	-0.08	0.32	1.13	0.93	1.38	0.23	0.22
